scenario,rank,report_id,label,score,defect_score,judgement_score,TP,FP,FN,partial,uncertain,excluded
beta=1;weights=4-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,26.2,11.2,15,3,0,37,0,2,11
beta=1;weights=4-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,26.2,11.2,15,3,0,37,0,2,25
beta=1;weights=4-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,22.6,7.6,15,2,0,38,0,2,10
beta=1;weights=4-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,22.6,7.6,15,2,0,38,0,2,12
beta=1;weights=4-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,18.8,3.8,15,1.0,1.0,39.0,1,1,10
beta=1;weights=4-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,40,0,2,10
beta=1;weights=4-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,40,0,2,14
beta=1;weights=4-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,40,0,2,8
beta=1;weights=4-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,55.8,45.8,10,14.0,1.0,26.0,1,7,22
beta=1;weights=4-2-1;defects=90,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,53.3,43.3,10,13.0,1.0,27.0,1,7,42
beta=1;weights=4-2-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,48.8,38.8,10,11,0,29,0,2,15
beta=1;weights=4-2-1;defects=90,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,40.0,30.0,10,10.0,10.0,30.0,1,11,53
beta=1;weights=4-2-1;defects=90,5,R07,QoderIDE / Sonus-session-merge-v2-review,36.8,26.8,10,7,0,33,0,1,17
beta=1;weights=4-2-1;defects=90,6,R03,KimiCode / KimiK3-session-merge-v2-review,36.3,26.3,10,7,1,33,0,7,26
beta=1;weights=4-2-1;defects=90,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,35.7,25.7,10,7.0,2.0,33.0,1,16,40
beta=1;weights=4-2-1;defects=90,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,29.1,19.1,10,5,2,35,0,2,9
beta=1;weights=4-2-1;defects=90,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,27.5,20.0,7.5,5,0,35,0,6,21
beta=1;weights=4-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,20.1,12.6,7.5,3,0,37,0,2,11
beta=1;weights=4-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,20.1,12.6,7.5,3,0,37,0,2,25
beta=1;weights=4-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,16.1,8.6,7.5,2,0,38,0,2,10
beta=1;weights=4-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,16.1,8.6,7.5,2,0,38,0,2,12
beta=1;weights=4-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,11.8,4.3,7.5,1.0,1.0,39.0,1,1,10
beta=1;weights=4-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,10
beta=1;weights=4-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,40,0,2,14
beta=1;weights=4-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,40,0,2,8
beta=1;weights=3-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,65.7,35.7,30,13.0,1.0,24.0,1,7,22
beta=1;weights=3-2-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,65.7,35.7,30,13.0,1.0,24.0,1,7,42
beta=1;weights=3-2-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,57.4,27.4,30,9,0,28,0,2,15
beta=1;weights=3-2-1;defects=70,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,55.0,25.0,30,10.0,9.0,27.0,1,11,53
beta=1;weights=3-2-1;defects=70,5,R03,KimiCode / KimiK3-session-merge-v2-review,51.8,21.8,30,7,1,30,0,7,26
beta=1;weights=3-2-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,51.3,21.3,30,7.0,2.0,30.0,1,16,40
beta=1;weights=3-2-1;defects=70,7,R07,QoderIDE / Sonus-session-merge-v2-review,49.5,19.5,30,6,0,31,0,1,17
beta=1;weights=3-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,45.9,15.9,30,5,2,32,0,2,9
beta=1;weights=3-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,39.2,16.7,22.5,5,0,32,0,6,21
beta=1;weights=3-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,33.0,10.5,22.5,3,0,34,0,2,11
beta=1;weights=3-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,33.0,10.5,22.5,3,0,34,0,2,25
beta=1;weights=3-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,29.7,7.2,22.5,2,0,35,0,2,10
beta=1;weights=3-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,29.7,7.2,22.5,2,0,35,0,2,12
beta=1;weights=3-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,26.1,3.6,22.5,1.0,1.0,36.0,1,1,10
beta=1;weights=3-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,37,0,2,10
beta=1;weights=3-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,37,0,2,14
beta=1;weights=3-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,8
beta=1;weights=3-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,60.8,40.8,20,13.0,1.0,24.0,1,7,22
beta=1;weights=3-2-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,60.8,40.8,20,13.0,1.0,24.0,1,7,42
beta=1;weights=3-2-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,51.3,31.3,20,9,0,28,0,2,15
beta=1;weights=3-2-1;defects=80,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,48.6,28.6,20,10.0,9.0,27.0,1,11,53
beta=1;weights=3-2-1;defects=80,5,R03,KimiCode / KimiK3-session-merge-v2-review,44.9,24.9,20,7,1,30,0,7,26
beta=1;weights=3-2-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,44.3,24.3,20,7.0,2.0,30.0,1,16,40
beta=1;weights=3-2-1;defects=80,7,R07,QoderIDE / Sonus-session-merge-v2-review,42.3,22.3,20,6,0,31,0,1,17
beta=1;weights=3-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,38.2,18.2,20,5,2,32,0,2,9
beta=1;weights=3-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,34.0,19.0,15,5,0,32,0,6,21
beta=1;weights=3-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,27.0,12.0,15,3,0,34,0,2,11
beta=1;weights=3-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,27.0,12.0,15,3,0,34,0,2,25
beta=1;weights=3-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,23.2,8.2,15,2,0,35,0,2,10
beta=1;weights=3-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,23.2,8.2,15,2,0,35,0,2,12
beta=1;weights=3-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,19.1,4.1,15,1.0,1.0,36.0,1,1,10
beta=1;weights=3-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,37,0,2,10
beta=1;weights=3-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,37,0,2,14
beta=1;weights=3-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,37,0,2,8
beta=1;weights=3-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,55.9,45.9,10,13.0,1.0,24.0,1,7,22
beta=1;weights=3-2-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,55.9,45.9,10,13.0,1.0,24.0,1,7,42
beta=1;weights=3-2-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,45.2,35.2,10,9,0,28,0,2,15
beta=1;weights=3-2-1;defects=90,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,42.1,32.1,10,10.0,9.0,27.0,1,11,53
beta=1;weights=3-2-1;defects=90,5,R03,KimiCode / KimiK3-session-merge-v2-review,38.0,28.0,10,7,1,30,0,7,26
beta=1;weights=3-2-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,37.4,27.4,10,7.0,2.0,30.0,1,16,40
beta=1;weights=3-2-1;defects=90,7,R07,QoderIDE / Sonus-session-merge-v2-review,35.1,25.1,10,6,0,31,0,1,17
beta=1;weights=3-2-1;defects=90,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,30.5,20.5,10,5,2,32,0,2,9
beta=1;weights=3-2-1;defects=90,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,28.9,21.4,7.5,5,0,32,0,6,21
beta=1;weights=3-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,21.0,13.5,7.5,3,0,34,0,2,11
beta=1;weights=3-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,21.0,13.5,7.5,3,0,34,0,2,25
beta=1;weights=3-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,16.7,9.2,7.5,2,0,35,0,2,10
beta=1;weights=3-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,16.7,9.2,7.5,2,0,35,0,2,12
beta=1;weights=3-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,12.1,4.6,7.5,1.0,1.0,36.0,1,1,10
beta=1;weights=3-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,10
beta=1;weights=3-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,37,0,2,14
beta=1;weights=3-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,37,0,2,8
beta=1;weights=2-1-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,65.0,35.0,30,8.5,0.5,16.5,1,7,22
beta=1;weights=2-1-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,65.0,35.0,30,8.5,0.5,16.5,1,7,42
beta=1;weights=2-1-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,57.1,27.1,30,6,0,19,0,2,15
beta=1;weights=2-1-1;defects=70,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,54.6,24.6,30,6.5,5.5,18.5,1,11,53
beta=1;weights=2-1-1;defects=70,5,R03,KimiCode / KimiK3-session-merge-v2-review,52.6,22.6,30,5,1,20,0,7,26
beta=1;weights=2-1-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,50.3,20.3,30,4.5,1.5,20.5,1,16,40
beta=1;weights=2-1-1;defects=70,7,R07,QoderIDE / Sonus-session-merge-v2-review,49.3,19.3,30,4,0,21,0,1,17
beta=1;weights=2-1-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,44.5,14.5,30,3,1,22,0,2,9
beta=1;weights=2-1-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,41.8,19.3,22.5,4,0,21,0,6,21
beta=1;weights=2-1-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,32.9,10.4,22.5,2,0,23,0,2,11
beta=1;weights=2-1-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,32.9,10.4,22.5,2,0,23,0,2,25
beta=1;weights=2-1-1;defects=70,10,R16,小米mimo / session-merge-v2-code-review,32.9,10.4,22.5,2,0,23,0,2,12
beta=1;weights=2-1-1;defects=70,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,27.9,5.4,22.5,1,0,24,0,2,10
beta=1;weights=2-1-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,25.2,2.7,22.5,0.5,0.5,24.5,1,1,10
beta=1;weights=2-1-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,25,0,2,10
beta=1;weights=2-1-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,25,0,2,14
beta=1;weights=2-1-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,8
beta=1;weights=2-1-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,60.0,40.0,20,8.5,0.5,16.5,1,7,22
beta=1;weights=2-1-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,60.0,40.0,20,8.5,0.5,16.5,1,7,42
beta=1;weights=2-1-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,51.0,31.0,20,6,0,19,0,2,15
beta=1;weights=2-1-1;defects=80,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,48.1,28.1,20,6.5,5.5,18.5,1,11,53
beta=1;weights=2-1-1;defects=80,5,R03,KimiCode / KimiK3-session-merge-v2-review,45.8,25.8,20,5,1,20,0,7,26
beta=1;weights=2-1-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,43.2,23.2,20,4.5,1.5,20.5,1,16,40
beta=1;weights=2-1-1;defects=80,7,R07,QoderIDE / Sonus-session-merge-v2-review,42.1,22.1,20,4,0,21,0,1,17
beta=1;weights=2-1-1;defects=80,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,37.1,22.1,15,4,0,21,0,6,21
beta=1;weights=2-1-1;defects=80,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,36.6,16.6,20,3,1,22,0,2,9
beta=1;weights=2-1-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,26.9,11.9,15,2,0,23,0,2,11
beta=1;weights=2-1-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,26.9,11.9,15,2,0,23,0,2,25
beta=1;weights=2-1-1;defects=80,10,R16,小米mimo / session-merge-v2-code-review,26.9,11.9,15,2,0,23,0,2,12
beta=1;weights=2-1-1;defects=80,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,21.2,6.2,15,1,0,24,0,2,10
beta=1;weights=2-1-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,18.1,3.1,15,0.5,0.5,24.5,1,1,10
beta=1;weights=2-1-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,25,0,2,10
beta=1;weights=2-1-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,25,0,2,14
beta=1;weights=2-1-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,25,0,2,8
beta=1;weights=2-1-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,55.0,45.0,10,8.5,0.5,16.5,1,7,22
beta=1;weights=2-1-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,55.0,45.0,10,8.5,0.5,16.5,1,7,42
beta=1;weights=2-1-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,44.8,34.8,10,6,0,19,0,2,15
beta=1;weights=2-1-1;defects=90,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,41.6,31.6,10,6.5,5.5,18.5,1,11,53
beta=1;weights=2-1-1;defects=90,5,R03,KimiCode / KimiK3-session-merge-v2-review,39.0,29.0,10,5,1,20,0,7,26
beta=1;weights=2-1-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,36.1,26.1,10,4.5,1.5,20.5,1,16,40
beta=1;weights=2-1-1;defects=90,7,R07,QoderIDE / Sonus-session-merge-v2-review,34.8,24.8,10,4,0,21,0,1,17
beta=1;weights=2-1-1;defects=90,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,32.3,24.8,7.5,4,0,21,0,6,21
beta=1;weights=2-1-1;defects=90,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,28.6,18.6,10,3,1,22,0,2,9
beta=1;weights=2-1-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,20.8,13.3,7.5,2,0,23,0,2,11
beta=1;weights=2-1-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,20.8,13.3,7.5,2,0,23,0,2,25
beta=1;weights=2-1-1;defects=90,10,R16,小米mimo / session-merge-v2-code-review,20.8,13.3,7.5,2,0,23,0,2,12
beta=1;weights=2-1-1;defects=90,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,14.4,6.9,7.5,1,0,24,0,2,10
beta=1;weights=2-1-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,11.0,3.5,7.5,0.5,0.5,24.5,1,1,10
beta=1;weights=2-1-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,10
beta=1;weights=2-1-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,25,0,2,14
beta=1;weights=2-1-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,25,0,2,8
beta=2;weights=4-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,58.0,28.0,30,14.0,1.0,26.0,1,7,22
beta=2;weights=4-2-1;defects=70,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,56.1,26.1,30,13.0,1.0,27.0,1,7,42
beta=2;weights=4-2-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,52.5,22.5,30,11,0,29,0,2,15
beta=2;weights=4-2-1;defects=70,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,49.4,19.4,30,10.0,10.0,30.0,1,11,53
beta=2;weights=4-2-1;defects=70,5,R07,QoderIDE / Sonus-session-merge-v2-review,44.7,14.7,30,7,0,33,0,1,17
beta=2;weights=4-2-1;defects=70,6,R03,KimiCode / KimiK3-session-merge-v2-review,44.6,14.6,30,7,1,33,0,7,26
beta=2;weights=4-2-1;defects=70,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,44.5,14.5,30,7.0,2.0,33.0,1,16,40
beta=2;weights=4-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,40.5,10.5,30,5,2,35,0,2,9
beta=2;weights=4-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,33.1,10.6,22.5,5,0,35,0,6,21
beta=2;weights=4-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,28.9,6.4,22.5,3,0,37,0,2,11
beta=2;weights=4-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,28.9,6.4,22.5,3,0,37,0,2,25
beta=2;weights=4-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,26.8,4.3,22.5,2,0,38,0,2,10
beta=2;weights=4-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,26.8,4.3,22.5,2,0,38,0,2,12
beta=2;weights=4-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,24.7,2.2,22.5,1.0,1.0,39.0,1,1,10
beta=2;weights=4-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,40,0,2,10
beta=2;weights=4-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,40,0,2,14
beta=2;weights=4-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,8
beta=2;weights=4-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,52.0,32.0,20,14.0,1.0,26.0,1,7,22
beta=2;weights=4-2-1;defects=80,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,49.9,29.9,20,13.0,1.0,27.0,1,7,42
beta=2;weights=4-2-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,45.7,25.7,20,11,0,29,0,2,15
beta=2;weights=4-2-1;defects=80,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,42.2,22.2,20,10.0,10.0,30.0,1,11,53
beta=2;weights=4-2-1;defects=80,5,R07,QoderIDE / Sonus-session-merge-v2-review,36.8,16.8,20,7,0,33,0,1,17
beta=2;weights=4-2-1;defects=80,6,R03,KimiCode / KimiK3-session-merge-v2-review,36.7,16.7,20,7,1,33,0,7,26
beta=2;weights=4-2-1;defects=80,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,36.6,16.6,20,7.0,2.0,33.0,1,16,40
beta=2;weights=4-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,32.0,12.0,20,5,2,35,0,2,9
beta=2;weights=4-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,27.1,12.1,15,5,0,35,0,6,21
beta=2;weights=4-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,22.4,7.4,15,3,0,37,0,2,11
beta=2;weights=4-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,22.4,7.4,15,3,0,37,0,2,25
beta=2;weights=4-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,19.9,4.9,15,2,0,38,0,2,10
beta=2;weights=4-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,19.9,4.9,15,2,0,38,0,2,12
beta=2;weights=4-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,17.5,2.5,15,1.0,1.0,39.0,1,1,10
beta=2;weights=4-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,40,0,2,10
beta=2;weights=4-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,40,0,2,14
beta=2;weights=4-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,40,0,2,8
beta=2;weights=4-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,46.0,36.0,10,14.0,1.0,26.0,1,7,22
beta=2;weights=4-2-1;defects=90,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,43.6,33.6,10,13.0,1.0,27.0,1,7,42
beta=2;weights=4-2-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,38.9,28.9,10,11,0,29,0,2,15
beta=2;weights=4-2-1;defects=90,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,35.0,25.0,10,10.0,10.0,30.0,1,11,53
beta=2;weights=4-2-1;defects=90,5,R07,QoderIDE / Sonus-session-merge-v2-review,28.9,18.9,10,7,0,33,0,1,17
beta=2;weights=4-2-1;defects=90,6,R03,KimiCode / KimiK3-session-merge-v2-review,28.8,18.8,10,7,1,33,0,7,26
beta=2;weights=4-2-1;defects=90,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,28.6,18.6,10,7.0,2.0,33.0,1,16,40
beta=2;weights=4-2-1;defects=90,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,23.5,13.5,10,5,2,35,0,2,9
beta=2;weights=4-2-1;defects=90,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,21.1,13.6,7.5,5,0,35,0,6,21
beta=2;weights=4-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,15.8,8.3,7.5,3,0,37,0,2,11
beta=2;weights=4-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,15.8,8.3,7.5,3,0,37,0,2,25
beta=2;weights=4-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,13.1,5.6,7.5,2,0,38,0,2,10
beta=2;weights=4-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,13.1,5.6,7.5,2,0,38,0,2,12
beta=2;weights=4-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,10.3,2.8,7.5,1.0,1.0,39.0,1,1,10
beta=2;weights=4-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,10
beta=2;weights=4-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,40,0,2,14
beta=2;weights=4-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,40,0,2,8
beta=2;weights=3-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,58.1,28.1,30,13.0,1.0,24.0,1,7,22
beta=2;weights=3-2-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,58.1,28.1,30,13.0,1.0,24.0,1,7,42
beta=2;weights=3-2-1;defects=70,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,51.0,21.0,30,10.0,9.0,27.0,1,11,53
beta=2;weights=3-2-1;defects=70,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,50.1,20.1,30,9,0,28,0,2,15
beta=2;weights=3-2-1;defects=70,5,R03,KimiCode / KimiK3-session-merge-v2-review,45.7,15.7,30,7,1,30,0,7,26
beta=2;weights=3-2-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,45.6,15.6,30,7.0,2.0,30.0,1,16,40
